,csp,tsLR,fgmdm,mdm
97,0.35333333333333333,0.44333333333333336,0.49333333333333335,0.5599999999999999
98,0.44333333333333336,0.5783333333333334,0.5133333333333333,0.6083333333333333
99,0.5533333333333333,0.475,0.545,0.44833333333333336
101,0.5016666666666667,0.6216666666666667,0.5516666666666666,0.6166666666666666
102,0.6016666666666667,0.58,0.505,0.6466666666666667
103,0.6183333333333334,0.7466666666666667,0.7883333333333333,0.7133333333333334
104,0.78,0.7966666666666666,0.735,0.7766666666666666
105,0.7233333333333334,0.6033333333333333,0.605,0.6333333333333333
106,0.6483333333333333,0.6966666666666667,0.62,0.6216666666666667
107,0.585,0.6799999999999999,0.5516666666666666,0.6433333333333333
108,0.615,0.6266666666666667,0.5683333333333334,0.635
109,0.5083333333333333,0.525,0.48,0.49333333333333335
